index,validators_count,client_name,country_code,ISP_alias
0,1,nimbus,KR,SK Broadband Co Ltd
1,1,lighthouse,US,Verizon Business
2,1,teku,AU,SUPERLOOP (AUSTRALIA) PTY LTD
3,1,teku,US,Charter Communications Inc
4,1,nimbus,US,Charter Communications Inc
5,1,lighthouse,US,AT&T Services Inc.
6,1,lighthouse,US,AT&T Services Inc.
7,1,lighthouse,US,AT&T Services Inc.
8,1,prysm,US,AT&T Services Inc.
9,1,lighthouse,US,Verizon Communications
10,1,prysm,AU,Telstra Corporation Limited
11,1,lighthouse,SG,Singapore Telecommunications Ltd Magix Services
12,1,lighthouse,AU,Aussie Broadband
13,1,lighthouse,KR,Korea Telecom
14,1,prysm,US,Grande Communications Networks
15,1,lighthouse,US,Webpass Inc.
16,1,lighthouse,SG,M1 LIMITED
17,1,lighthouse,NL,TMONL
18,1,lighthouse,AU,Telstra Corporation Limited
19,1,lighthouse,AU,Telstra Corporation Limited
20,1,lighthouse,AU,Aussie Broadband
21,1,prysm,AU,Aussie Broadband
22,1,prysm,FR,OVH SAS
23,1,lodestar,DE,Contabo GmbH
24,1,prysm,US,Charter Communications
25,1,nimbus,CA,TELUS Communications Inc.
26,1,nimbus,CA,TELUS Communications Inc.
27,1,nimbus,US,Verizon Business
28,1,prysm,US,Comcast Cable Communications LLC
29,1,prysm,FR,BOUYGUES Telecom
30,1,prysm,FR,BOUYGUES Telecom
31,1,prysm,DE,Contabo GmbH
32,1,teku,CH,Swisscom (Schweiz) AG - Bluewin
33,1,prysm,DE,Vodafone
34,1,prysm,DE,Vodafone
35,1,lighthouse,RS,TELEKOM-BB
36,1,prysm,RS,TELEKOM-BB
37,1,lighthouse,DE,netcup GmbH
38,1,teku,PT,Vodafone Portugal
39,1,prysm,SG,Huawei International Pte. LTD
40,1,lighthouse,CH,Sunrise GmbH
41,1,lighthouse,DE,netcup GmbH
42,1,teku,CH,DECKPOINT
43,1,lighthouse,CH,ImproWare AG
44,1,prysm,SE,Telia Company AB
45,1,prysm,IT,Aruba S.p.A.
46,1,prysm,IT,Aruba S.p.A.
47,1,prysm,IT,Aruba S.p.A.
48,1,prysm,IT,Aruba S.p.A.
49,1,prysm,IT,Aruba S.p.A.
50,1,prysm,IT,Aruba S.p.A.
51,1,prysm,IT,Aruba S.p.A.
52,1,nimbus,NL,ZIGGO
53,1,nimbus,NL,ZIGGO
54,1,lodestar,NL,ZIGGO
55,1,lighthouse,AU,Vocus PTY LTD
56,1,lighthouse,KR,SK Broadband Co Ltd
57,1,prysm,SG,Singapore Telecommunications Ltd Magix Services
58,1,lighthouse,AU,TPG Internet Pty Ltd
59,1,prysm,NL,Vodafone Ziggo
60,1,nimbus,SE,Bredband2 AB
61,1,nimbus,SE,Bredband2 AB
62,1,nimbus,SE,Bredband2 AB
63,1,nimbus,SE,Bredband2 AB
64,1,nimbus,SE,Bredband2 AB
65,1,nimbus,SE,Bredband2 AB
66,1,teku,NL,TMONL
67,1,grandine,US,Charter Communications
68,1,prysm,IL,013 Netvision
69,1,lighthouse,CH,UPC Schweiz GmbH
70,1,lighthouse,GB,Cerberus Networks Ltd
71,1,prysm,US,Frontier Communications Corporation
72,1,nimbus,US,Frontier Communications Solutions
73,1,nimbus,US,Frontier Communications Solutions
74,1,nimbus,US,Frontier Communications Solutions
75,1,teku,DE,Vodafone
76,1,nimbus,US,Wholesail networks LLC
77,1,lighthouse,PL,OVH SAS
78,1,lighthouse,IE,Amazon.com Inc.
79,1,lighthouse,CA,OVH SAS
80,1,prysm,ES,Ono
81,1,prysm,AT,UPC Austria
82,1,prysm,FI,Hetzner Online GmbH
83,1,teku,US,CenturyLink Communications LLC
84,1,nimbus,US,CenturyLink Communications LLC
85,1,prysm,CA,TELUS Communications Inc
86,1,prysm,US,Hurricane Electric LLC
87,1,prysm,US,COMELEC SERVICES INC
88,1,prysm,US,Comcast Cable Communications LLC
89,1,prysm,US,Comcast Cable Communications LLC
90,1,lighthouse,US,Ardmore Telephone
91,1,nimbus,US,Cox Communications Inc.
92,1,lighthouse,US,Comcast Cable Communications LLC
93,1,prysm,US,Comcast Cable Communications LLC
94,1,lighthouse,US,Verizon Business
95,1,prysm,US,Charter Communications
96,1,teku,US,Comcast Cable Communications LLC
97,1,prysm,US,Comcast Cable Communications
98,1,teku,US,Comcast Cable Communications LLC
99,1,lighthouse,US,Fuse Internet Access
100,1,prysm,US,Comcast Cable Communications LLC
101,1,teku,US,Charter Communications
102,1,prysm,NL,UPC NL
103,1,lighthouse,CH,Genossenschaft GGA Maur
104,1,nimbus,CH,Genossenschaft GGA Maur
105,1,lighthouse,CH,Genossenschaft GGA Maur
106,1,nimbus,CH,Genossenschaft GGA Maur
107,1,grandine,AT,T-Mobile Austria GmbH
108,1,grandine,FR,Orange
109,1,lighthouse,CH,green.ch ag
110,1,nimbus,CH,green.ch ag
111,1,lighthouse,CH,green.ch ag
112,1,prysm,CH,WWZ Telekom AG
113,1,prysm,GB,Virgin Media
114,1,nimbus,AT,Liberty Global Operations B.V
115,1,nimbus,AT,Liberty Global Operations B.V
116,1,lighthouse,DE,Contabo GmbH
117,1,prysm,CZ,GINs network
118,1,teku,RO,RCS & RDS
119,1,prysm,AU,Launtel
120,1,prysm,DE,Deutsche Telekom AG
121,1,lighthouse,GB,TalkTalk
122,1,lodestar,DE,Hetzner Online GmbH
123,1,lodestar,DE,Hetzner Online GmbH
124,1,prysm,NO,Telenor Norge
125,1,prysm,NO,Telenor Norge
126,1,prysm,DE,netcup GmbH
127,1,prysm,DE,netcup GmbH
128,1,nimbus,FR,Orange
129,1,prysm,ES,Adamo Telecom Iberia S.A Barcelona
130,1,prysm,ES,Adamo Telecom Iberia S.A.
131,1,teku,ES,UNI2
132,1,lighthouse,DE,QSC AG
133,1,nimbus,DK,TDC Holding A/S
134,1,teku,BE,Telenet N.V.
135,1,lighthouse,BE,Telenet N.V.
136,1,lighthouse,IT,Tiscali Italia SpA
137,1,teku,RU,Lofis LLC
138,1,teku,SK,Slovak Telecom AS6855
139,1,prysm,DE,Vodafone Kabel Deutschland
140,1,lighthouse,US,Charter Communications
141,1,prysm,US,Verizon Communications
142,1,prysm,US,Charter Communications Inc
143,1,prysm,US,Comcast Cable Communications LLC
144,1,teku,US,Comcast Cable Communications LLC
145,1,teku,US,Comcast Cable Communications LLC
146,1,prysm,US,Comcast Cable Communications LLC
147,1,lighthouse,US,SpaceX Starlink
148,1,prysm,US,AT&T Services Inc.
149,1,lighthouse,CA,Rogers Communications Canada Inc.
150,2,nimbus,US,Verizon Communications
151,2,prysm,US,Verizon Business
152,2,lighthouse,FI,Hetzner Online GmbH
153,2,lighthouse,US,Webpass Inc.
154,2,lighthouse,AU,Choopa
155,2,prysm,SG,OVH SAS
156,2,lighthouse,US,OVH US LLC
157,2,teku,US,AT&T Services Inc.
158,2,lighthouse,AU,Aussie Broadband
159,2,prysm,PL,Krzysztof Andrzej Kozak trading as P.P.H.U. ARTUS
160,2,prysm,DE,Hetzner Online GmbH
161,2,teku,DK,TDC Holding A/S
162,2,lighthouse,AU,TPG Internet Pty Ltd
163,2,lighthouse,DE,Vodafone
164,2,lighthouse,US,Charter Communications Inc
165,2,prysm,US,Charter Communications
166,2,lighthouse,US,AT&T Services Inc.
167,2,prysm,CA,Bell Canada
168,2,grandine,US,Comcast Cable Communications LLC
169,2,prysm,US,Comcast Cable Communications
170,2,prysm,US,Comcast Cable Communications LLC
171,2,prysm,US,Comcast Cable Communications LLC
172,2,prysm,US,Comcast Cable Communications LLC
173,2,prysm,US,Comcast Cable Communications LLC
174,2,prysm,US,Comcast Cable Communications LLC
175,2,prysm,US,Comcast Cable Communications LLC
176,2,prysm,US,Comcast Cable Communications LLC
177,2,prysm,RU,Koltushsky Internet Ltd
